0.28	-0.1	0.425
0.28	-0.09	0.425
0.28	-0.08	0.425
0.28	-0.07	0.425
0.28	-0.06	0.425
0.28	-0.05	0.425
0.28	-0.04	0.425
0.28	-0.03	0.425
0.28	-0.02	0.425
0.28	-0.01	0.425
0.28	0	0.425
0.28	0.01	0.425
0.28	0.02	0.425
0.28	0.03	0.425
0.28	0.04	0.425
0.28	0.05	0.425
0.28	0.06	0.425
0.28	0.07	0.425
0.28	0.08	0.425
0.28	0.09	0.425
0.28	0.1	0.425
0.28	0.11	0.425
0.28	0.12	0.425
0.28	0.13	0.425
0.28	0.14	0.425
0.28	0.15	0.425
0.28	0.15	0.4225
0.28	0.15	0.4175
0.28	0.15	0.4125
0.28	0.15	0.4075
0.28	0.15	0.4025
0.28	0.15	0.3975
0.28	0.15	0.3925
0.28	0.15	0.3875
0.28	0.15	0.3825
0.28	0.15	0.3775
0.28	0.15	0.3725
0.28	0.15	0.3675
0.28	0.15	0.3625
0.28	0.15	0.3575
0.28	0.15	0.3525
0.28	0.15	0.3475
0.28	0.15	0.3425
0.28	0.15	0.3375
0.28	0.15	0.3325
0.28	0.15	0.3275
0.28	0.15	0.3225
0.28	0.15	0.3175
0.28	0.15	0.3125
0.28	0.15	0.3075
0.28	0.15	0.3025
0.28	0.14	0.3
0.28	0.13	0.3
0.28	0.12	0.3
0.28	0.11	0.3
0.28	0.1	0.3
0.28	0.09	0.3
0.28	0.08	0.3
0.28	0.07	0.3
0.28	0.06	0.3
0.28	0.05	0.3
0.28	0.04	0.3
0.28	0.03	0.3
0.28	0.02	0.3
0.28	0.01	0.3
0.28	0	0.3
0.28	-0.01	0.3
0.28	-0.02	0.3
0.28	-0.03	0.3
0.28	-0.04	0.3
0.28	-0.05	0.3
0.28	-0.06	0.3
0.28	-0.07	0.3
0.28	-0.08	0.3
0.28	-0.09	0.3
0.28	-0.1	0.3
0.28	-0.1	0.305
0.28	-0.1	0.31
0.28	-0.1	0.315
0.28	-0.1	0.32
0.28	-0.1	0.325
0.28	-0.1	0.33
0.28	-0.1	0.335
0.28	-0.1	0.34
0.28	-0.1	0.345
0.28	-0.1	0.35
0.28	-0.1	0.355
0.28	-0.1	0.36
0.28	-0.1	0.365
0.28	-0.1	0.37
0.28	-0.1	0.375
0.28	-0.1	0.38
0.28	-0.1	0.385
0.28	-0.1	0.39
0.28	-0.1	0.395
0.28	-0.1	0.4
0.28	-0.1	0.405
0.28	-0.1	0.41
0.28	-0.1	0.415
0.28	-0.1	0.42
0.28	-0.1	0.425
